client_number,customer_age,gender,dependents,education_level,marital_status,state,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income_of_customer,customer_satisfaction_score
C100054,40,Female,3,Unknown,Single,Medina,41407,Yes,No,No,Cellular,Government Employee,6973,3
C100055,49,Female,0,Graduated,Single,Taif,93039,Yes,Yes,No,Unknown,Student,47243,1
C100056,35,Male,2,Post-Graduate,Widow,Jazan,20998,Yes,Yes,No,Unknown,Self-employed,19066,5
C100057,47,Female,0,Unknown,Widow,Mecca,95597,Yes,Yes,Yes,Telephone,Government Employee,42181,3
C100058,63,Female,2,Doctorate,Married,Abha,46872,Yes,Yes,Yes,Telephone,Businessman,28906,1
C100059,28,Female,3,Uneducated,Divorced,Tabuk,93252,No,No,No,Cellular,Freelancer,24078,3
C100060,33,Female,4,High School,Single,Dammam,94730,Yes,No,Yes,Cellular,Freelancer,14372,4
C100061,55,Female,3,Post-Graduate,Single,Jeddah,80601,Yes,No,Yes,Telephone,Unemployed,27666,5
C100062,42,Female,1,Doctorate,Single,Jeddah,70646,No,Yes,No,Cellular,Self-employed,4296,3
C100063,63,Female,1,Unknown,Divorced,Medina,40704,No,No,Yes,Telephone,Private Employee,49140,5
C100064,33,Male,1,Doctorate,Widow,Jeddah,46352,No,Yes,Yes,Unknown,Freelancer,40074,5
C100065,56,Male,0,Post-Graduate,Married,Jeddah,26702,No,Yes,No,Cellular,Unemployed,47432,1
C100066,64,Female,4,Graduated,Single,Taif,94012,Yes,No,No,Telephone,Government Employee,10976,5
C100067,49,Female,2,Post-Graduate,Single,Medina,16155,No,No,No,Telephone,Businessman,28680,2
C100068,41,Male,4,Unknown,Married,Taif,19757,Yes,Yes,Yes,Telephone,Government Employee,7118,1
C100069,21,Female,3,Unknown,Divorced,Mecca,42394,Yes,No,Yes,Telephone,Unemployed,6567,3
C100070,53,Male,0,Post-Graduate,Widow,Jeddah,91965,No,Yes,Yes,Cellular,Businessman,27732,3
C100071,64,Male,1,Unknown,Widow,Riyadh,49514,No,Yes,Yes,Unknown,Businessman,39651,1
C100072,38,Female,3,Unknown,Widow,Medina,88587,Yes,No,No,Telephone,Unemployed,31056,5
C100073,59,Male,2,Doctorate,Single,Jazan,77792,No,Yes,Yes,Cellular,Businessman,42005,1
C100074,57,Male,4,Uneducated,Divorced,Tabuk,65182,No,No,Yes,Cellular,Self-employed,5888,1
C100075,28,Female,4,Graduated,Divorced,Mecca,86502,Yes,Yes,No,Telephone,Student,25472,3
C100076,43,Male,4,Post-Graduate,Married,Riyadh,41114,Yes,No,No,Cellular,Self-employed,44979,2
C100077,24,Female,1,Doctorate,Widow,Jazan,88612,No,No,No,Telephone,Government Employee,13635,1
C100078,49,Male,3,Uneducated,Single,Medina,40182,No,Yes,Yes,Telephone,Freelancer,24726,4
C100079,33,Female,1,Unknown,Divorced,Riyadh,19664,No,Yes,Yes,Cellular,Government Employee,31862,2
C100080,60,Female,0,Unknown,Married,Medina,47237,Yes,Yes,No,Unknown,Self-employed,25270,5
C100081,35,Male,1,Unknown,Married,Mecca,23263,Yes,Yes,No,Unknown,Unemployed,10272,3
C100082,33,Female,3,Uneducated,Divorced,Tabuk,96626,Yes,No,Yes,Cellular,Self-employed,11571,2
C100083,32,Female,2,High School,Widow,Medina,16054,Yes,No,Yes,Telephone,Self-employed,6490,3
C100084,28,Female,1,Doctorate,Single,Jazan,96966,Yes,Yes,No,Unknown,Unemployed,36368,3
C100085,51,Female,1,High School,Divorced,Abha,73346,No,No,No,Unknown,Private Employee,44818,5
C100086,61,Male,1,Uneducated,Married,Jazan,40721,No,Yes,No,Telephone,Private Employee,40445,2
C100087,43,Female,4,Unknown,Married,Jeddah,48672,No,No,Yes,Unknown,Businessman,33490,5
C100088,59,Female,3,Graduated,Widow,Taif,63602,No,No,No,Telephone,Private Employee,4619,2
C100089,48,Male,2,Doctorate,Single,Tabuk,20802,No,Yes,No,Cellular,Businessman,10771,1
C100090,43,Male,4,Uneducated,Divorced,Medina,98487,No,No,No,Unknown,Unemployed,47796,3
C100091,32,Male,4,High School,Single,Mecca,46942,No,No,No,Unknown,Unemployed,45946,1
C100092,50,Male,3,Uneducated,Married,Medina,72185,Yes,No,No,Telephone,Unemployed,8627,3
C100093,32,Female,3,Uneducated,Widow,Jazan,83196,Yes,No,Yes,Unknown,Unemployed,11411,3
C100094,20,Female,2,High School,Married,Taif,65799,No,No,No,Unknown,Businessman,40196,1
C100095,28,Male,2,Post-Graduate,Widow,Taif,36765,No,Yes,No,Cellular,Private Employee,10119,3
C100096,56,Female,2,Unknown,Married,Jeddah,98458,Yes,Yes,No,Cellular,Self-employed,16041,1
C100097,44,Female,1,Uneducated,Divorced,Abha,19172,No,Yes,No,Unknown,Businessman,14260,3
C100098,46,Female,1,Unknown,Married,Abha,64842,No,Yes,No,Cellular,Self-employed,16479,3
C100099,47,Female,1,Post-Graduate,Divorced,Medina,75860,No,No,Yes,Cellular,Self-employed,32211,1
C100100,45,Male,4,High School,Widow,Jazan,70646,Yes,Yes,No,Unknown,Private Employee,25726,3
C100101,45,Male,3,Uneducated,Married,Taif,70008,No,Yes,Yes,Telephone,Freelancer,5861,2
C100102,30,Female,4,High School,Single,Medina,74682,No,Yes,No,Cellular,Unemployed,9895,5
C100103,40,Female,3,Uneducated,Divorced,Medina,76330,Yes,No,Yes,Cellular,Freelancer,48513,4
C100104,44,Female,3,Uneducated,Widow,Riyadh,11407,No,Yes,Yes,Telephone,Freelancer,33424,4
C100105,49,Male,0,Post-Graduate,Married,Jazan,28383,No,No,Yes,Cellular,Unemployed,4183,5
C100106,26,Male,2,Unknown,Widow,Dammam,20169,Yes,No,Yes,Telephone,Government Employee,14661,2
C100107,65,Male,4,Uneducated,Widow,Riyadh,93203,Yes,No,No,Telephone,Businessman,42203,1
C100108,23,Female,1,Uneducated,Divorced,Medina,36212,Yes,Yes,No,Cellular,Businessman,25093,2
C100109,63,Male,1,Unknown,Married,Dammam,15768,No,Yes,No,Telephone,Student,44077,2
C100110,59,Male,4,Graduated,Widow,Jeddah,40462,Yes,Yes,No,Telephone,Self-employed,3982,4
C100111,61,Female,0,Graduated,Married,Jazan,38848,Yes,No,No,Cellular,Businessman,17323,4
C100112,39,Female,0,Doctorate,Married,Mecca,22418,No,No,Yes,Telephone,Self-employed,44638,3
C100113,62,Female,0,High School,Single,Jazan,60118,Yes,Yes,Yes,Cellular,Student,11130,3
C100114,35,Female,1,Post-Graduate,Single,Riyadh,28029,No,No,No,Cellular,Self-employed,27625,2
C100115,61,Male,1,Doctorate,Widow,Tabuk,27598,No,No,Yes,Unknown,Unemployed,30190,3
C100116,21,Male,2,High School,Married,Medina,80688,Yes,Yes,Yes,Unknown,Unemployed,28001,5
C100117,40,Male,3,Doctorate,Single,Jeddah,74440,Yes,Yes,Yes,Unknown,Self-employed,16383,2
C100118,25,Male,4,Post-Graduate,Married,Medina,76509,Yes,No,No,Telephone,Self-employed,15945,2
C100119,47,Male,4,Uneducated,Divorced,Mecca,85552,No,Yes,No,Telephone,Businessman,26565,4
C100120,44,Male,3,Graduated,Widow,Abha,89874,No,Yes,No,Cellular,Unemployed,27996,4
C100121,25,Female,4,Post-Graduate,Married,Abha,33029,No,No,No,Telephone,Private Employee,21561,4
C100122,55,Female,0,High School,Married,Jazan,35652,Yes,Yes,Yes,Cellular,Unemployed,35813,3
C100123,51,Female,3,Graduated,Divorced,Taif,74166,No,Yes,No,Cellular,Businessman,28219,5
C100124,30,Male,3,High School,Divorced,Abha,74044,No,Yes,No,Telephone,Freelancer,19173,2
C100125,50,Male,2,Doctorate,Single,Dammam,44253,No,Yes,No,Cellular,Student,40902,2
C100126,20,Male,0,Doctorate,Widow,Taif,86829,Yes,Yes,No,Cellular,Unemployed,30975,3
C100127,64,Female,4,Post-Graduate,Widow,Mecca,63950,Yes,Yes,No,Cellular,Government Employee,16731,4
C100128,64,Female,0,Uneducated,Widow,Riyadh,22697,Yes,No,No,Unknown,Government Employee,31242,2
C100129,31,Female,1,Doctorate,Married,Medina,73762,Yes,Yes,No,Unknown,Unemployed,16931,2
C100130,32,Male,1,Uneducated,Divorced,Taif,67767,Yes,Yes,Yes,Telephone,Businessman,27754,1
C100131,37,Male,2,Unknown,Married,Jazan,73595,Yes,Yes,Yes,Telephone,Unemployed,3473,5
C100132,22,Male,1,Post-Graduate,Single,Taif,89034,No,No,No,Telephone,Student,31144,3
C100133,43,Female,2,Uneducated,Divorced,Taif,59602,Yes,No,No,Cellular,Businessman,32944,4
C100134,28,Male,4,Unknown,Divorced,Medina,58290,No,No,No,Unknown,Self-employed,3205,3
C100135,21,Female,0,Doctorate,Divorced,Jazan,40612,No,No,Yes,Telephone,Private Employee,34203,1
C100136,44,Female,4,Uneducated,Married,Abha,84959,Yes,Yes,No,Cellular,Government Employee,47109,5
C100137,49,Male,3,Unknown,Widow,Abha,41575,Yes,Yes,Yes,Unknown,Freelancer,8861,1
C100138,47,Male,1,High School,Widow,Mecca,38885,No,No,Yes,Unknown,Self-employed,38031,4
C100139,25,Female,1,Post-Graduate,Single,Tabuk,59415,No,No,Yes,Cellular,Government Employee,10581,3
C100140,25,Male,0,High School,Married,Jeddah,85083,No,Yes,No,Telephone,Student,3110,3
C100141,23,Male,3,Graduated,Divorced,Tabuk,99037,Yes,Yes,Yes,Telephone,Businessman,38277,4
C100142,40,Male,2,Uneducated,Widow,Jazan,29323,No,Yes,Yes,Unknown,Government Employee,23243,5
C100143,64,Male,2,Doctorate,Widow,Medina,74883,No,No,Yes,Telephone,Self-employed,49973,2
C100144,34,Male,1,Graduated,Widow,Mecca,96409,Yes,Yes,No,Telephone,Private Employee,47426,4
C100145,42,Female,3,Unknown,Divorced,Mecca,35571,No,Yes,Yes,Telephone,Unemployed,41036,1
C100146,65,Female,3,Doctorate,Married,Dammam,67918,No,No,Yes,Cellular,Self-employed,15822,1
C100147,43,Male,1,Graduated,Widow,Dammam,17383,Yes,No,No,Cellular,Businessman,10690,5
C100148,61,Female,4,Graduated,Married,Taif,42112,Yes,Yes,Yes,Telephone,Private Employee,22837,5
C100149,31,Female,0,Graduated,Widow,Mecca,92881,No,No,Yes,Cellular,Businessman,8415,1
C100150,51,Male,0,Post-Graduate,Widow,Mecca,22393,Yes,No,No,Unknown,Freelancer,31420,3
C100151,56,Male,0,High School,Single,Abha,34233,No,Yes,No,Unknown,Unemployed,38154,5
C100152,51,Male,4,Post-Graduate,Single,Medina,96321,Yes,Yes,Yes,Cellular,Student,32309,3
C100153,27,Male,1,Post-Graduate,Married,Dammam,21510,No,Yes,Yes,Cellular,Student,22567,3
C100154,54,Male,3,Doctorate,Single,Medina,49400,Yes,No,No,Cellular,Student,35141,3
C100155,53,Female,4,Post-Graduate,Married,Jeddah,96850,Yes,Yes,Yes,Cellular,Self-employed,22641,2
C100156,28,Male,4,High School,Divorced,Dammam,91567,No,Yes,No,Telephone,Private Employee,45583,2
C100157,45,Female,0,High School,Widow,Dammam,80242,Yes,Yes,No,Unknown,Freelancer,45308,2
C100158,65,Female,4,Doctorate,Married,Taif,30118,No,No,No,Cellular,Student,19220,1
C100159,37,Male,4,Unknown,Widow,Jeddah,53169,Yes,No,No,Telephone,Self-employed,17795,3
C100160,20,Male,3,Uneducated,Widow,Jeddah,26187,Yes,No,No,Cellular,Student,25865,5
C100161,38,Female,4,Unknown,Single,Dammam,51680,No,Yes,No,Unknown,Freelancer,37844,5
C100162,58,Female,3,Post-Graduate,Married,Mecca,11244,Yes,Yes,Yes,Telephone,Student,20522,1
C100163,60,Female,1,Doctorate,Widow,Jazan,33999,No,No,No,Unknown,Government Employee,21076,4
C100164,53,Male,2,Doctorate,Single,Mecca,63282,No,Yes,Yes,Cellular,Freelancer,18731,1
C100165,30,Male,0,Doctorate,Divorced,Abha,74598,Yes,No,Yes,Telephone,Private Employee,36751,5
C100166,64,Male,3,Unknown,Married,Riyadh,65702,No,Yes,Yes,Unknown,Private Employee,14044,5
C100167,34,Male,0,High School,Married,Abha,56306,Yes,No,No,Telephone,Self-employed,27463,1
C100168,41,Male,4,Unknown,Divorced,Mecca,73324,No,No,Yes,Cellular,Freelancer,44364,5
C100169,45,Male,2,Doctorate,Single,Jazan,90969,No,Yes,No,Cellular,Student,33169,3
C100170,39,Female,0,Unknown,Divorced,Dammam,62699,No,Yes,Yes,Telephone,Private Employee,15946,1
C100171,53,Male,3,Unknown,Widow,Riyadh,30398,No,Yes,No,Telephone,Government Employee,22613,3
C100172,47,Male,4,High School,Single,Jazan,96019,No,Yes,Yes,Telephone,Freelancer,31440,1
C100173,42,Male,0,Uneducated,Divorced,Riyadh,27521,No,No,No,Cellular,Self-employed,46660,2
C100174,50,Female,0,Graduated,Widow,Abha,74955,Yes,No,No,Unknown,Freelancer,28483,2
C100175,27,Male,0,Uneducated,Married,Tabuk,75536,Yes,Yes,Yes,Unknown,Unemployed,25422,4
C100176,58,Male,3,Graduated,Divorced,Mecca,73691,Yes,No,Yes,Unknown,Self-employed,36504,2
C100177,35,Female,0,High School,Married,Taif,36006,No,Yes,Yes,Cellular,Unemployed,41744,2
C100178,34,Male,1,Graduated,Single,Mecca,35189,Yes,No,Yes,Unknown,Self-employed,8959,1
C100179,44,Female,4,High School,Married,Medina,54063,No,No,Yes,Unknown,Private Employee,45196,1
C100180,39,Male,2,High School,Divorced,Tabuk,64797,Yes,No,Yes,Cellular,Businessman,3035,1
C100181,62,Female,1,High School,Widow,Mecca,89498,Yes,No,Yes,Telephone,Private Employee,26827,3
C100182,39,Male,0,Doctorate,Single,Abha,27079,No,No,No,Unknown,Unemployed,41594,5
C100183,58,Female,1,Doctorate,Divorced,Medina,86588,No,Yes,Yes,Cellular,Freelancer,42441,1
C100184,22,Male,1,Doctorate,Widow,Jeddah,19814,No,No,No,Cellular,Student,13071,1
C100185,28,Male,3,Post-Graduate,Divorced,Abha,55526,No,No,Yes,Telephone,Businessman,34642,4
C100186,53,Male,1,Post-Graduate,Divorced,Dammam,47965,Yes,Yes,Yes,Unknown,Unemployed,29050,4
C100187,63,Male,1,Graduated,Widow,Abha,61150,No,No,Yes,Cellular,Businessman,13485,5
C100188,33,Male,4,Graduated,Divorced,Mecca,38879,No,No,Yes,Cellular,Self-employed,5989,5
C100189,35,Female,0,Doctorate,Married,Mecca,27428,No,Yes,Yes,Cellular,Student,10614,1
C100190,61,Female,4,High School,Divorced,Jeddah,81994,No,Yes,No,Unknown,Government Employee,24275,1
C100191,60,Male,2,Uneducated,Divorced,Dammam,43552,Yes,Yes,No,Unknown,Government Employee,44040,5
C100192,55,Male,3,Uneducated,Divorced,Mecca,36728,No,Yes,No,Cellular,Freelancer,31436,3
C100193,29,Female,0,Graduated,Married,Jazan,34251,Yes,Yes,No,Unknown,Self-employed,45438,3
C100194,21,Female,1,Uneducated,Widow,Medina,19103,Yes,Yes,No,Cellular,Private Employee,45278,4
C100195,26,Male,0,Post-Graduate,Single,Taif,60330,Yes,Yes,Yes,Unknown,Businessman,11662,2
C100196,25,Female,1,Doctorate,Single,Riyadh,23938,No,Yes,Yes,Cellular,Private Employee,39887,4
C100197,30,Female,2,Graduated,Married,Medina,17323,No,Yes,Yes,Cellular,Businessman,38693,3
C100198,26,Female,1,Unknown,Married,Riyadh,39710,No,No,Yes,Telephone,Freelancer,21798,2
C100199,63,Female,0,Graduated,Married,Jeddah,39428,Yes,No,No,Cellular,Student,24870,1
C100200,43,Male,0,Post-Graduate,Married,Dammam,66181,No,Yes,No,Cellular,Freelancer,48033,3
C100201,59,Female,2,Unknown,Divorced,Jazan,96734,No,No,Yes,Cellular,Unemployed,12741,2
C100202,40,Male,3,Graduated,Widow,Jeddah,24832,No,No,Yes,Cellular,Government Employee,11358,2
C100203,44,Female,2,Graduated,Widow,Jazan,64256,No,Yes,Yes,Telephone,Private Employee,39001,4
C100204,54,Female,4,Post-Graduate,Married,Taif,20959,No,Yes,Yes,Cellular,Government Employee,3187,2
C100205,21,Female,4,Graduated,Married,Jeddah,17808,No,No,Yes,Telephone,Private Employee,12446,5
C100206,46,Male,1,Uneducated,Single,Dammam,25366,Yes,No,Yes,Unknown,Private Employee,27358,1
C100207,64,Male,4,Unknown,Widow,Dammam,13956,Yes,No,Yes,Cellular,Self-employed,8050,1
C100208,56,Female,1,Uneducated,Widow,Dammam,79133,No,No,No,Unknown,Government Employee,32096,1
C100209,38,Male,1,Unknown,Single,Dammam,75967,Yes,Yes,No,Telephone,Freelancer,32772,5
C100210,65,Female,4,Post-Graduate,Divorced,Medina,65531,Yes,No,Yes,Unknown,Private Employee,11200,2
C100211,45,Male,1,Graduated,Married,Abha,89309,Yes,No,No,Telephone,Freelancer,45066,4
C100212,44,Male,0,High School,Widow,Medina,45378,Yes,Yes,Yes,Telephone,Student,24985,1
C100213,35,Female,1,Post-Graduate,Single,Jeddah,37775,Yes,No,Yes,Unknown,Self-employed,44837,1
C100214,35,Female,0,Post-Graduate,Single,Jazan,15987,Yes,No,Yes,Telephone,Businessman,26373,3
C100215,45,Male,2,Graduated,Divorced,Dammam,98432,Yes,No,No,Unknown,Student,9619,5
C100216,29,Male,4,Graduated,Widow,Riyadh,48026,Yes,Yes,No,Cellular,Freelancer,9113,2
C100217,33,Male,1,Post-Graduate,Divorced,Jazan,27196,No,No,No,Unknown,Unemployed,31239,1
C100218,65,Female,1,Uneducated,Single,Dammam,84304,No,Yes,Yes,Cellular,Unemployed,23286,5
C100219,25,Female,0,Graduated,Divorced,Dammam,48745,Yes,Yes,No,Unknown,Government Employee,26158,1
C100220,24,Male,3,High School,Widow,Mecca,67939,Yes,Yes,No,Cellular,Government Employee,21784,4
C100221,46,Male,3,High School,Divorced,Tabuk,20943,No,No,No,Unknown,Businessman,43672,1
C100222,35,Male,1,Unknown,Divorced,Taif,30736,No,Yes,Yes,Telephone,Unemployed,33295,1
C100223,42,Female,3,Doctorate,Widow,Jeddah,21248,Yes,Yes,No,Telephone,Self-employed,29314,3
C100224,24,Female,2,Post-Graduate,Widow,Medina,72419,Yes,No,No,Cellular,Student,13206,4
C100225,29,Male,2,Post-Graduate,Single,Taif,18178,No,No,No,Cellular,Businessman,16860,1
C100226,63,Female,2,High School,Married,Jeddah,28577,Yes,No,No,Cellular,Government Employee,49675,4
C100227,46,Male,2,Uneducated,Single,Jeddah,66168,No,No,Yes,Cellular,Government Employee,30466,4
C100228,50,Male,3,High School,Widow,Riyadh,83519,Yes,Yes,Yes,Telephone,Freelancer,23743,1
C100229,29,Female,1,Graduated,Divorced,Jeddah,98335,No,No,Yes,Telephone,Unemployed,11239,4
C100230,60,Male,0,Uneducated,Married,Taif,81576,Yes,No,Yes,Telephone,Self-employed,15527,5
C100231,20,Female,2,Unknown,Divorced,Mecca,75809,Yes,No,No,Telephone,Private Employee,26050,3
C100232,54,Female,4,High School,Single,Dammam,70138,No,No,Yes,Unknown,Student,13659,5
C100233,47,Female,2,Doctorate,Widow,Mecca,91313,Yes,Yes,Yes,Cellular,Freelancer,4076,5
C100234,46,Male,3,Doctorate,Single,Jazan,75976,Yes,No,No,Cellular,Self-employed,32794,5
C100235,44,Male,1,Graduated,Single,Tabuk,70810,No,No,Yes,Telephone,Unemployed,17675,5
C100236,38,Female,2,High School,Widow,Medina,10544,No,Yes,Yes,Cellular,Self-employed,27537,5
C100237,58,Female,2,Uneducated,Widow,Medina,82841,No,Yes,No,Cellular,Unemployed,40870,4
C100238,28,Female,1,Graduated,Divorced,Abha,30767,No,Yes,Yes,Unknown,Unemployed,11279,5
C100239,27,Female,2,Post-Graduate,Married,Tabuk,36707,Yes,Yes,Yes,Telephone,Businessman,44215,5
C100240,29,Male,4,Doctorate,Single,Taif,13314,Yes,No,No,Cellular,Self-employed,45763,2
C100241,39,Male,4,Uneducated,Widow,Mecca,96410,Yes,No,Yes,Cellular,Freelancer,4516,5
C100242,26,Male,3,Post-Graduate,Single,Jeddah,28590,No,No,Yes,Cellular,Businessman,35390,3
C100243,33,Female,0,Graduated,Single,Taif,19643,No,Yes,Yes,Unknown,Private Employee,27592,3
C100244,60,Female,1,Uneducated,Divorced,Riyadh,33419,Yes,Yes,No,Telephone,Private Employee,43239,5
C100245,54,Male,1,Post-Graduate,Divorced,Jeddah,35276,Yes,Yes,Yes,Cellular,Unemployed,26913,1
C100246,33,Male,2,Uneducated,Married,Jeddah,26591,No,No,No,Cellular,Businessman,25842,5
C100247,61,Female,3,Doctorate,Widow,Taif,77194,No,Yes,No,Cellular,Self-employed,48026,3
C100248,45,Male,4,Post-Graduate,Divorced,Dammam,36978,No,No,No,Telephone,Student,20804,3
C100249,59,Male,4,Graduated,Widow,Medina,84336,No,No,Yes,Telephone,Self-employed,5212,5
C100250,36,Female,2,Post-Graduate,Divorced,Taif,13924,Yes,Yes,No,Telephone,Unemployed,15184,3
C100251,35,Male,1,Doctorate,Divorced,Tabuk,29010,No,Yes,Yes,Telephone,Freelancer,3714,3
C100252,33,Female,4,High School,Married,Abha,18681,No,No,Yes,Unknown,Self-employed,9744,5
C100253,37,Male,4,Doctorate,Widow,Taif,51652,No,Yes,Yes,Cellular,Unemployed,35370,4
C100254,22,Female,3,Unknown,Single,Jazan,32431,No,No,Yes,Unknown,Businessman,21680,1
C100255,61,Male,3,High School,Married,Taif,14850,Yes,No,Yes,Cellular,Private Employee,9233,4
C100256,39,Female,2,High School,Widow,Jeddah,82935,No,No,Yes,Telephone,Government Employee,48643,4
C100257,51,Male,2,Post-Graduate,Single,Riyadh,39362,Yes,Yes,Yes,Cellular,Government Employee,48062,4
C100258,34,Male,0,Uneducated,Divorced,Abha,10647,Yes,No,Yes,Cellular,Businessman,22941,1
C100259,36,Female,4,Graduated,Divorced,Dammam,28056,No,Yes,Yes,Telephone,Unemployed,12699,5
C100260,46,Female,0,Post-Graduate,Married,Jazan,96673,No,No,No,Unknown,Private Employee,17800,1
C100261,36,Female,0,High School,Married,Medina,20225,Yes,No,Yes,Cellular,Businessman,46941,2
C100262,49,Female,1,Graduated,Single,Tabuk,37349,No,No,No,Unknown,Self-employed,36063,1
